Image No,Image Pixel,Processing Time,Iteration,Combination,Current Script,Execution Time (seconds),RAM Memory Usage (MB),CPU Usage Per Core,GPU Usage (%),GPU Memory Usage (MB),Total RAM (GB),Total CPU Cores,Total GPU Memory (GB),CPU Model,GPU Model,CPU Clock Speed (MHz),GPU Clock Speed (MHz),Number of Cores Used,File,Duration
1.0,448x640,43.1,1,p,predict.py,16.867469310760498,1380.0859375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",39,1.607421875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,2,,
,,390.0,1,s,speech.py,111.06808710098268,1778.20703125,"[18.2, 16.7, 0.0, 0.0, 9.1, 9.1, 0.0, 54.5, 45.5, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 9.1, 9.1, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 9.1]",91,4.455078125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,13,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,40.6,1,d,detect.py,15.24671745300293,1350.96484375,"[0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",35,1.05859375,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,3,,
1.0,448x640,43.2,1,pp,predict.py,17.94042158126831,1356.1875,"[0.0, 9.1, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",62,2.4189453125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,4,,
1.0,448x640,68.9,1,ps,predict.py,25.50381112098694,1375.5859375,"[0.0, 0.0, 16.7, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 9.1, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 100.0]",88,5.2001953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,7,,
,,390.0,1,ps,speech.py,108.10316228866576,1775.7734375,"[10.0, 10.0, 54.5, 20.0, 20.0, 33.3, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.3, 0.0, 0.0, 0.0, 18.2, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",90,5.2001953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,10,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
1.0,448x640,38.5,1,pd,detect.py,16.439568758010864,1361.85546875,"[0.0, 0.0, 0.0, 10.0, 0.0, 62.5, 20.0, 0.0, 100.0, 40.0, 0.0, 0.0, 10.0, 0.0, 44.4, 50.0, 0.0, 55.6, 0.0, 0.0, 9.1, 40.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 55.6, 70.0, 9.1, 0.0]",58,1.9404296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,15,,
1.0,448x640,43.2,1,pd,predict.py,17.19835901260376,1359.5390625,"[0.0, 0.0, 20.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",58,1.9404296875,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,5,,
1.0,448x640,43.8,1,sp,predict.py,26.93069005012512,1356.57421875,"[0.0, 0.0, 40.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 11.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0]",90,5.2001953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,6,,
,,390.0,1,sp,speech.py,107.97177004814148,1681.78515625,"[9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 60.0, 16.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.3, 0.0, 18.2, 0.0]",90,5.2001953125,256,32,24,Intel(R) Xeon(R) Gold 6226R CPU,NVIDIA RTX A5000,2900.0,2100,7,/home/user/Desktop/CODE/Adit/test-clean/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8.34
