Combination,Execution Time (seconds),RAM Memory Usage (MB),GPU Memory Usage (MB),Number of Cores Used
p,16.86746931,1380.085938,1.607421875,2
s,111.0680871,1778.207031,4.455078125,13
d,15.24671745,1350.964844,1.05859375,3
pp,17.94042158,1356.1875,2.418945313,4
ps,25.50381112,1375.585938,5.200195313,7
dp,16.43956876,1361.855469,1.940429688,15
ps,26.93069005,1356.574219,5.200195313,6
ss,179.6591022,2355.359375,7.981445313,21
ds,23.47720695,1363.355469,4.721679688,18
dp,16.49609852,1331.566406,1.940429688,6
ds,22.95321655,1330.703125,4.721679688,7
dd,16.50300598,1334.773438,1.461914063,2
ppp,19.7118175,1352.777344,3.325195313,5
pps,31.1807754,1359.710938,6.106445313,12
dpp,18.99577308,1347.773438,2.846679688,9
pps,29.04472446,1350.910156,6.106445313,18
pss,44.63971639,1387.105469,8.887695313,25
dps,28.04466391,1336.230469,5.627929688,21
dpp,18.80866218,1333.398438,2.846679688,10
dps,28.56761527,1331.300781,5.627929688,20
ddp,18.30863857,1334.085938,2.368164063,4
pps,28.97342658,1362.289063,6.106445313,21
pss,48.61373258,1375.53125,8.887695313,22
dps,27.3216238,1340.75,5.627929688,24
pss,41.28859138,1355.097656,8.887695313,21
sss,262.6185784,1682.070313,11.66894531,12
dss,43.5826416,1343.300781,8.409179688,20
dps,27.0776155,1349.882813,5.627929688,14
dss,45.06252575,1343.09375,8.409179688,25
dds,26.45996284,1363.460938,5.149414063,19
dpp,18.82063794,1334.179688,2.846679688,11
dps,28.39803314,1340.695313,5.627929688,21
ddp,18.4524641,1336.125,2.368164063,5
dps,28.79767251,1332.316406,5.627929688,17
dss,39.51116085,1338.585938,8.409179688,20
dds,27.50422502,1351.484375,5.149414063,21
ddp,18.69381022,1360.761719,2.368164063,5
dds,27.25119257,1338.285156,5.149414063,13
ddd,17.98344803,1333.703125,1.889648438,5
pppp,23.72736239,1358.066406,4.232421875,10
ppps,34.47491097,1360.515625,7.013671875,21
dppp,21.38280392,1334.070313,3.75390625,6
ppps,33.37337589,1355.023438,7.013671875,17
ppss,54.93620872,1357.214844,9.794921875,26
dpps,30.50089169,1336.894531,6.53515625,14
dppp,21.36691141,1352.527344,3.75390625,9
dpps,31.18893743,1332.742188,6.53515625,17
ddpp,21.17124796,1354.589844,3.275390625,8
ppps,34.7243166,1361.785156,7.013671875,12
ppss,49.55689502,1379.527344,9.794921875,15
dpps,33.16674852,1339.703125,6.53515625,20
ppss,50.73902464,1356.355469,9.794921875,14
psss,69.90539598,1368.132813,12.57617188,17
dpss,46.9688406,1360.230469,9.31640625,17
dpps,30.46537709,1333.960938,6.53515625,9
dpss,49.00459909,1350.949219,9.31640625,5
ddps,29.83207893,1335.660156,6.056640625,14
dppp,21.25900364,1333.339844,3.75390625,13
dpps,31.52881503,1335.355469,6.53515625,16
ddpp,20.69712234,1346.59375,3.275390625,11
dpps,31.49193096,1346.988281,6.53515625,17
dpss,49.60406852,1335.746094,9.31640625,7
ddps,30.13815045,1338.039063,6.056640625,24
ddpp,20.90332747,1336.433594,3.275390625,7
ddps,31.11230183,1332.910156,6.056640625,12
dddp,20.34330654,1338.878906,2.796875,10
ppps,33.59324288,1353.492188,7.013671875,23
ppss,53.99107289,1374.464844,9.794921875,17
dpps,32.85967612,1332.773438,6.53515625,9
ppss,51.79511809,1369.585938,9.794921875,23
psss,70.18194079,1358.261719,12.57617188,10
dpss,39.71079707,1337.761719,9.31640625,21
dpps,33.06289411,1334.207031,6.53515625,21
dpss,41.88436079,1363.121094,9.31640625,19
ddps,30.62875199,1333.445313,6.056640625,16
ppss,18.21088719,1378.511719,5.173828125,32
psss,69.37771845,1370.632813,12.57617188,19
dpss,49.09350801,1336.773438,9.31640625,8
